,Student ID,Final Grade
0,457,76.21111111111111
1,465,86.99222222222222
2,546,89.09666666666666
3,579,87.33222222222223
4,614,93.6711111111111
5,646,90.68444444444445
6,649,93.52666666666667
7,669,87.95111111111109
8,674,84.60444444444444
9,683,89.32777777777778
10,699,92.76555555555555
11,701,90.92777777777778
12,712,82.4011111111111
13,720,88.27111111111111
14,751,91.17444444444443
15,761,80.75555555555555
16,781,81.83444444444444
17,791,84.81777777777778
18,838,89.90333333333334
19,860,95.91333333333334
