,Student ID,Final Grade
0,476,84.75714285714285
1,477,86.19428571428571
2,521,81.50571428571428
3,570,77.26428571428572
4,610,86.95428571428572
5,658,91.32285714285715
6,664,92.46714285714286
7,669,71.20285714285714
8,672,83.06285714285715
9,693,77.31714285714285
10,697,86.56000000000002
11,700,81.34285714285716
12,729,90.53857142857143
13,735,82.9342857142857
14,772,87.22714285714285
15,775,90.24
16,777,93.05142857142857
17,811,84.54285714285713
18,818,82.9342857142857
19,829,87.22285714285715
