,Student ID,Grades,Feedback
0,7602,79.7,Link to Assignment with Professor Feedback
1,7511,100.0,Link to Assignment with Professor Feedback
2,7560,91.94,Link to Assignment with Professor Feedback
3,7380,100.0,Link to Assignment with Professor Feedback
4,7289,98.66,Link to Assignment with Professor Feedback
5,7416,55.51,Link to Assignment with Professor Feedback
6,7616,94.93,Link to Assignment with Professor Feedback
7,7243,100.0,Link to Assignment with Professor Feedback
8,7626,89.03,Link to Assignment with Professor Feedback
9,7564,65.71,Link to Assignment with Professor Feedback
10,7397,92.77,Link to Assignment with Professor Feedback
11,7536,100.0,Link to Assignment with Professor Feedback
12,7281,70.84,Link to Assignment with Professor Feedback
13,7500,100.0,Link to Assignment with Professor Feedback
14,7327,79.27,Link to Assignment with Professor Feedback
15,7584,99.64,Link to Assignment with Professor Feedback
16,7270,77.96,Link to Assignment with Professor Feedback
17,7518,60.51,Link to Assignment with Professor Feedback
18,7309,64.73,Link to Assignment with Professor Feedback
19,7510,84.06,Link to Assignment with Professor Feedback
