,Student ID,Final Grade
0,7238,81.64428571428573
1,7265,91.61428571428571
2,7348,78.57142857142857
3,7366,80.57571428571428
4,7382,85.15857142857143
5,7402,87.25285714285714
6,7420,73.66428571428571
7,7441,82.04714285714284
8,7459,88.98571428571428
9,7462,89.15714285714284
10,7463,84.49714285714286
11,7490,78.28571428571429
12,7533,79.29285714285713
13,7564,94.46571428571428
14,7569,91.48
15,7594,88.83714285714287
16,7621,92.23571428571428
17,7626,80.53
18,7634,81.02428571428572
19,7638,75.8442857142857
