,Student ID,Grades,Feedback
0,7432,98.7,Link to Assignment with Professor Feedback
1,7508,72.76,Link to Assignment with Professor Feedback
2,7607,100.0,Link to Assignment with Professor Feedback
3,7255,96.42,Link to Assignment with Professor Feedback
4,7555,62.89,Link to Assignment with Professor Feedback
5,7433,68.97,Link to Assignment with Professor Feedback
6,7449,96.09,Link to Assignment with Professor Feedback
7,7516,75.62,Link to Assignment with Professor Feedback
8,7504,61.51,Link to Assignment with Professor Feedback
9,7288,78.79,Link to Assignment with Professor Feedback
10,7454,71.11,Link to Assignment with Professor Feedback
11,7326,94.19,Link to Assignment with Professor Feedback
12,7586,97.98,Link to Assignment with Professor Feedback
13,7560,97.28,Link to Assignment with Professor Feedback
14,7434,78.74,Link to Assignment with Professor Feedback
15,7417,100.0,Link to Assignment with Professor Feedback
16,7307,81.77,Link to Assignment with Professor Feedback
17,7520,77.42,Link to Assignment with Professor Feedback
18,7624,72.63,Link to Assignment with Professor Feedback
19,7337,75.34,Link to Assignment with Professor Feedback
