,Student ID,Grades,Feedback
0,7444,92.19,Link to Assignment with Professor Feedback
1,7491,99.39,Link to Assignment with Professor Feedback
2,7550,100.0,Link to Assignment with Professor Feedback
3,7601,85.12,Link to Assignment with Professor Feedback
4,7304,90.67,Link to Assignment with Professor Feedback
5,7632,100.0,Link to Assignment with Professor Feedback
6,7613,89.42,Link to Assignment with Professor Feedback
7,7474,91.6,Link to Assignment with Professor Feedback
8,7392,92.23,Link to Assignment with Professor Feedback
9,7586,91.03,Link to Assignment with Professor Feedback
10,7628,88.06,Link to Assignment with Professor Feedback
11,7514,93.54,Link to Assignment with Professor Feedback
12,7332,92.53,Link to Assignment with Professor Feedback
13,7583,98.92,Link to Assignment with Professor Feedback
14,7306,63.88,Link to Assignment with Professor Feedback
