,Student ID,Grades,Feedback
0,7542,78.0,Link to Assignment with Professor Feedback
1,7443,100.0,Link to Assignment with Professor Feedback
2,7469,80.93,Link to Assignment with Professor Feedback
3,7614,83.2,Link to Assignment with Professor Feedback
4,7637,56.94,Link to Assignment with Professor Feedback
5,7522,96.87,Link to Assignment with Professor Feedback
6,7507,66.9,Link to Assignment with Professor Feedback
7,7318,78.08,Link to Assignment with Professor Feedback
8,7456,73.69,Link to Assignment with Professor Feedback
9,7494,93.69,Link to Assignment with Professor Feedback
10,7434,96.07,Link to Assignment with Professor Feedback
11,7236,98.74,Link to Assignment with Professor Feedback
12,7423,83.58,Link to Assignment with Professor Feedback
13,7558,96.6,Link to Assignment with Professor Feedback
