,Student ID,Final Grade
0,7245,84.57833333333333
1,7289,92.79333333333334
2,7386,87.49000000000001
3,7388,73.48
4,7393,84.15333333333334
5,7400,88.39166666666667
6,7418,89.30499999999999
7,7442,87.03999999999998
8,7443,75.10666666666667
9,7463,79.85666666666667
10,7476,83.37500000000001
11,7495,77.125
12,7544,82.90833333333333
13,7569,88.42666666666666
14,7603,86.395
15,7622,78.97000000000001
16,7623,88.48833333333333
17,7632,77.05333333333333
18,7639,99.03666666666668
19,7652,92.74333333333334
