,Student ID,Final Grade
0,478,88.21285714285715
1,483,84.14571428571428
2,498,90.89857142857143
3,506,80.13428571428572
4,523,78.7057142857143
5,525,89.99857142857142
6,562,80.04714285714286
7,594,75.11857142857141
8,597,88.22000000000001
9,613,87.44285714285714
10,617,90.17142857142858
11,665,85.54571428571428
12,707,90.10428571428572
13,709,88.08000000000001
14,712,92.63999999999999
15,721,83.94714285714285
16,742,83.94285714285715
17,755,90.61428571428571
18,771,78.04142857142857
19,849,82.40285714285714
